index,Importance of being seen as masculine,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men have more support from their managers,None of the Above,Other
562,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
563,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
564,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
565,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
566,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
568,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
571,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
572,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
573,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
574,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
575,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
576,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
583,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
585,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
586,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
587,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
592,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
598,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
600,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Other (please specify)
601,1,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
603,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
605,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
613,4,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
614,1,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
616,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
619,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
624,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
632,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
633,4,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
634,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
637,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
638,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
643,3,Men make more money,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
644,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
646,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
647,3,Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
649,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
651,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
653,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
657,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
658,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
661,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
662,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
663,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
666,3,Not selected,Not selected,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
667,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
670,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
674,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
675,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
676,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
677,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
678,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
679,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
680,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
682,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
683,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
684,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
686,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
691,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
693,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
698,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
702,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
705,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
706,3,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
713,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
714,3,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
715,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
716,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
718,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
721,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
723,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
724,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
726,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
730,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
731,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
732,3,Men make more money,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
735,3,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
737,3,Men make more money,Men are taken more seriously,Men have more choice,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
738,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
742,3,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
744,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
745,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
746,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
750,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
751,2,Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
752,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
754,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
755,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
759,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
762,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
763,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
764,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
768,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
769,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
770,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
771,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
772,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
773,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
774,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
777,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
779,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
781,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
786,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
788,2,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
793,3,Not selected,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
795,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
796,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
797,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
798,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
801,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
802,1,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
805,4,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
808,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
811,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
812,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
814,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
816,1,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
818,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
821,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
824,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
825,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
826,3,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
835,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
837,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
838,2,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
839,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
842,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
847,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
852,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
853,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
857,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
858,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
860,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
862,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
863,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
866,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
867,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
868,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
869,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
873,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
879,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
880,1,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
881,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
887,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
891,4,Not selected,Not selected,Men have more choice,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
896,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
899,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
903,3,Not selected,Men are taken more seriously,Men have more choice,Not selected,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
904,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
908,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
909,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
910,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
913,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
914,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
915,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
917,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
918,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
920,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
921,4,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
922,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
923,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
924,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
926,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
929,3,Not selected,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
931,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
933,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
937,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
938,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
939,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
940,2,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
942,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
945,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
946,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
949,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
951,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
952,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
954,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
959,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
960,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
961,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
963,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
966,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
967,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
968,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
971,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
974,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
977,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
978,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
980,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
984,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
985,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
986,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
987,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
988,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
989,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
993,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
995,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
996,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
999,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1000,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1001,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1003,0,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1004,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1006,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1008,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1010,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1011,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1012,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1013,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1015,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1017,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1022,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1025,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1026,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1029,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1030,4,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1033,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1034,2,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1035,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1047,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1051,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1052,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1053,3,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1055,1,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1058,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1060,1,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1064,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1065,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1066,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1067,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1068,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1070,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1072,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1073,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
1075,2,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1077,2,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1078,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1080,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1083,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1084,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1086,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1088,1,Not selected,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1089,2,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1092,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1096,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1098,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1099,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1103,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1104,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1105,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1106,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1107,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1108,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1109,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1111,4,Not selected,Not selected,Men have more choice,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1112,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1115,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1116,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1120,1,Men make more money,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
1121,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1123,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1124,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1127,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1129,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1131,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1133,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1134,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1137,2,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
1138,2,Not selected,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1141,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1143,3,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1145,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1146,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1150,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1151,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1153,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1155,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1156,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1157,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1158,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1161,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1162,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
